,Unnamed: 0.1,Unnamed: 0,id,author,title,location,city,price,no_of_bedrooms,no_of_bathrooms,no_of_floor,parking_area,facing_side,built_date,area1,area2,area3,area_formating,road_width,purpose,property_type,latitude,longitude
0,0,0,1,1,"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000.0,6,3,2.0,10,West,01/01/2073,1.0,0.0,0.0,HM,20 Feet ,SL,H,85.3622183,27.7768839
1,1,1,2,1,"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000.0,5,3,2.0,9,East,01/01/2073,0.0,21.0,0.0,HM,20 Feet ,SL,H,85.362324,27.778087
2,2,2,3,1,"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000.0,5,3,2.0,12,East,01/01/2071,1.0,1.0,0.0,HM,20 Feet ,SL,H,85.33575499,27.74603455
3,3,3,4,1,"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,130000000.0,6,4,3.0,9,West,01/01/2017,0.0,10.0,1.0,HM,20 Feet ,SL,H,85.3302886,27.7301977
4,4,4,5,1,"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000.0,6,3,2.0,10,East,01/01/2070,0.0,19.0,2.0,HM,20 Feet ,SL,H,85.3455463,27.7513034
5,5,5,6,1,"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,100000000.0,5,6,3.0,9,East,01/01/2074,0.0,12.0,3.0,HM,13 Feet ,SL,H,85.2992675,27.7304624
6,6,6,7,1,"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000.0,3,4,3.0,1,South East,01/01/2019,3.0,1.0,1.0,HM,11 Feet ,SL,H,85.3757052,27.6397625
7,7,7,8,1,"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000.0,5,4,2.0,9,East,01/01/2073,0.0,8.0,5.0,HM,20 Feet ,SL,H,85.362324,27.778087
8,8,8,9,1,"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000.0,10,8,3.5,5,North,01/01/2017,0.0,12.0,3.0,HM,20 Feet ,SL,H,85.3302886,27.7301977
9,9,9,10,1,"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000.0,6,4,2.5,1,South East,01/01/2065,0.0,4.0,0.0,HM,12 Feet ,SL,H,85.3493711,27.7312658
10,10,10,11,1,"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000.0,4,5,3.0,3,South West,01/01/2075,0.0,14.0,0.0,HM,15 Feet ,SL,H,83.99512187,28.2107395
11,11,11,12,1,"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000.0,5,4,3.0,1,North West,01/01/2075,0.0,4.0,2.0,HM,14 Feet ,SL,H,85.3656159,27.7622384
12,12,12,13,1,"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000.0,2,2,1.0,1,South,01/01/2074,0.0,5.0,0.0,HM,12 Feet ,SL,H,85.363258,27.777309
13,13,13,14,1,"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000.0,5,5,3.0,3,South East,01/01/2075,0.0,8.0,0.0,HM,20 Feet ,SL,H,85.363258,27.777309
14,14,14,15,1,"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000.0,6,6,3.0,1,East,01/01/2076,0.0,4.0,0.0,HM,13 Feet ,SL,H,85.363258,27.777309
15,15,15,16,1,"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000.0,6,6,3.0,1,East,01/01/2076,0.0,4.0,0.0,HM,13 Feet ,SL,H,85.282715,27.707529
16,16,16,17,1,"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000.0,6,4,2.5,1,East,01/01/2056,0.0,6.0,0.0,HM,20 Feet ,SL,H,85.313984,27.718206
17,17,17,18,1,"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000.0,4,4,0.0,3,South,01/01/2074,0.0,6.0,0.0,HM,13 Feet,SL,H,85.21369,27.68969
18,18,18,19,1,"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000.0,7,4,0.0,3,East,01/01/2073,0.0,10.0,0.0,HM,0 Feet,SL,H,85.33218,27.70704
19,19,19,20,1,"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000.0,0,0,0.0,0,North,01/01/2072,0.0,4.0,0.0,HM,10 Feet,SL,H,0.0,0.0
20,20,20,21,1,"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000.0,7,3,3.0,1,East,01/01/2076,0.0,3.0,2.0,HM,10 Feet ,SL,H,85.4349769,27.6683445
21,21,21,22,1,"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000.0,0,0,0.0,0,East,01/01/2075,0.0,3.0,2.0,HM,20 Feet ,SL,H,85.397483,27.674542
22,22,22,23,1,"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,145000000.0,95,40,5.0,7,East,01/01/2073,0.0,21.0,0.0,HM,20 Feet ,SL,H,85.3046065,27.7270307
23,23,23,24,1,"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000.0,5,6,3.0,4,South,01/01/2071,0.0,19.0,0.0,HM,20 Feet ,SL,H,85.363258,27.777309
24,24,24,25,1,"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000.0,4,4,2.5,1,East,01/01/2075,0.0,4.0,0.0,HM,13 Feet ,SL,H,85.2521799,27.7208558
25,25,25,26,1,"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000.0,6,6,3.0,3,South East,01/01/2076,0.0,6.0,1.0,HM,32 Feet,SL,H,85.3341241,27.7438445
26,26,26,27,1,"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000.0,6,6,3.0,4,East,01/01/2070,0.0,19.0,0.0,HM,13 Feet ,SL,H,85.3620744,27.776716
27,27,27,28,1,"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000.0,7,4,3.5,2,South,01/01/2076,0.0,4.0,2.0,HM,13 Feet ,SL,H,85.34436,27.66817
28,28,28,29,1,"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000.0,6,6,3.0,2,East,01/01/2076,0.0,6.0,5.0,HM,16 Feet ,SL,H,85.33218,27.70704
29,29,29,30,1,"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000.0,4,3,2.5,1,East,01/01/2076,0.0,3.0,0.0,HM,13 Feet ,SL,H,85.3487309,27.6648498
30,30,30,31,1,"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000.0,4,3,2.5,1,East,01/01/2076,0.0,3.0,2.0,HM,13 Feet ,SL,H,85.3487309,27.6648498
31,31,31,32,1,"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000.0,5,3,3.0,1,South,01/01/2071,3.0,0.0,2.0,HM,13 Feet,SL,H,85.344299,27.666822
32,32,32,33,1,"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000.0,5,6,3.0,3,East,01/01/2074,0.0,10.0,0.0,HM,15 Feet ,SL,H,85.34367247,27.73203045
